Manufacturer	Strain / product	Format	Category	Verified seller(s)	Listing evidence	Source URL	R1 status
AEB Brewing	Fermo Brew Acid	Dry	Beer	HopStore; Homebrew; Litebrygg; Brygg Øl	Verified current Norwegian/NO-facing listing	https://www.hopstore.no/categories/torrgjar	Round 1 Discovery – no ranking
AEB Brewing	Fermo Kveik-SV	Dry	Beer	HopStore; Homebrew; Litebrygg; Brygg Øl	Verified current Norwegian/NO-facing listing	https://www.hopstore.no/categories/torrgjar	Round 1 Discovery – no ranking
AEB Brewing	Fermoale AY-3	Dry	Beer	HopStore; Homebrew; Litebrygg; Brygg Øl	Verified current Norwegian/NO-facing listing	https://www.hopstore.no/categories/torrgjar	Round 1 Discovery – no ranking
AEB Brewing	Fermoale AY-4	Dry	Beer	HopStore; Homebrew; Litebrygg; Brygg Øl	Verified current Norwegian/NO-facing listing	https://www.hopstore.no/categories/torrgjar	Round 1 Discovery – no ranking
AEB Brewing	Fermoale Bel-Abbey	Dry	Beer	HopStore; Homebrew; Litebrygg; Brygg Øl	Verified current Norwegian/NO-facing listing	https://www.hopstore.no/categories/torrgjar	Round 1 Discovery – no ranking
AEB Brewing	Fermoale New-E	Dry	Beer	HopStore; Homebrew; Litebrygg; Brygg Øl	Verified current Norwegian/NO-facing listing	https://www.hopstore.no/categories/torrgjar	Round 1 Discovery – no ranking
AEB Brewing	Fermoale Weiss	Dry	Beer	HopStore; Homebrew; Litebrygg; Brygg Øl	Verified current Norwegian/NO-facing listing	https://www.hopstore.no/categories/torrgjar	Round 1 Discovery – no ranking
AEB Brewing	Fermolager W	Dry	Beer	HopStore; Homebrew; Litebrygg; Brygg Øl	Verified current Norwegian/NO-facing listing	https://www.hopstore.no/categories/torrgjar	Round 1 Discovery – no ranking
CellarScience	BAJA	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	BERLIN	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	BIG BEN	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	CALI	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	GERMAN	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	HAZY	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	JUNGLE	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	KOLSCH	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	MONK	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	SAISON	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
CellarScience	VELO	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/cellarscience	Round 1 Discovery – no ranking
Fermentis	SafAle BE-134	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafAle BE-256	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafAle BW-20	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafAle K-97	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafAle S-04	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafAle S-33	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafAle US-05	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafBrew DA-16	Dry	Beer	Brewshop; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafBrew DW-17	Dry	Beer	Brewshop; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafBrew HA-18	Dry	Beer	Brewshop	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafLager S-189	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafLager S-23	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Fermentis	SafLager W-34/70	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/raavarer-gjaer-toerrgjaer	Round 1 Discovery – no ranking
Kveik Yeastery	K.1 Voss	Dry	Beer	Vestbrygg; Litebrygg; Homebrew	Verified current Norwegian/NO-facing listing	https://www.litebrygg.no/manufacturers/kveik-yeastery	Round 1 Discovery – no ranking
Kveik Yeastery	K.14 Eitrheim	Dry	Beer	Vestbrygg; Litebrygg; Homebrew	Verified current Norwegian/NO-facing listing	https://www.litebrygg.no/manufacturers/kveik-yeastery	Round 1 Discovery – no ranking
Kveik Yeastery	K.22 Stalljen	Dry	Beer	Vestbrygg; Litebrygg; Homebrew	Verified current Norwegian/NO-facing listing	https://www.litebrygg.no/manufacturers/kveik-yeastery	Round 1 Discovery – no ranking
Kveik Yeastery	K.9 Ebbegarden	Dry	Beer	Vestbrygg; Litebrygg; Homebrew	Verified current Norwegian/NO-facing listing	https://www.litebrygg.no/manufacturers/kveik-yeastery	Round 1 Discovery – no ranking
Lallemand	LalBrew Belle Saison	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://www.vestbrygg.no/r%C3%A5varer/gj%C3%A6r/t%C3%B8rrgj%C3%A6r	Round 1 Discovery – no ranking
Lallemand	LalBrew BRY-97	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://www.vestbrygg.no/r%C3%A5varer/gj%C3%A6r/t%C3%B8rrgj%C3%A6r	Round 1 Discovery – no ranking
Lallemand	LalBrew House Ale	Dry	Beer	Vestbrygg; Ølbrygging	Verified current Norwegian/NO-facing listing	https://www.vestbrygg.no/r%C3%A5varer/gj%C3%A6r/t%C3%B8rrgj%C3%A6r	Round 1 Discovery – no ranking
Lallemand	LalBrew Munich Classic	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://www.vestbrygg.no/r%C3%A5varer/gj%C3%A6r/t%C3%B8rrgj%C3%A6r	Round 1 Discovery – no ranking
Lallemand	LalBrew New England	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://www.vestbrygg.no/r%C3%A5varer/gj%C3%A6r/t%C3%B8rrgj%C3%A6r	Round 1 Discovery – no ranking
Lallemand	LalBrew Nottingham	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://www.vestbrygg.no/r%C3%A5varer/gj%C3%A6r/t%C3%B8rrgj%C3%A6r	Round 1 Discovery – no ranking
Lallemand	LalBrew Verdant IPA	Dry	Beer	Brewshop; Homebrew; Vestbrygg; Litebrygg; others	Verified current Norwegian/NO-facing listing	https://www.vestbrygg.no/r%C3%A5varer/gj%C3%A6r/t%C3%B8rrgj%C3%A6r	Round 1 Discovery – no ranking
Mangrove Jack's	M12 Kveik	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M15 Empire Ale	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M20 Bavarian Wheat	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M21 Belgian Wit	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M24 Versa Lager	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M29 French Saison	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M31 Belgian Tripel	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M36 Liberty Bell Ale	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M41 Belgian Ale	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M42 New World Strong Ale	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M44 US West Coast	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M47 Belgian Abbey	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M54 Californian Lager	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M66 Hophead Ale	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M76 Bavarian Lager	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Mangrove Jack's	M84 Bohemian Lager	Dry	Beer	Homebrew; Brewshop; Litebrygg; Bryggeriforretningen; Bragebrygg	Verified current Norwegian/NO-facing listing	https://homebrew.no/collections/gjaer	Round 1 Discovery – no ranking
Omega Yeast	OYL-004 West Coast Ale I	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-005 Irish Ale	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-006 British Ale I	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-011 British Ale V	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-016 Extra Special	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-021 Hefeweizen Ale I	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-025 Belgian Ale A	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-028 Belgian Ale W	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-033 Jovaru Lithuanian Farmhouse	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-044 Kolsch II	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-052 DIPA Ale	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-057 HotHead Ale	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-061 Voss Kveik	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-071 Lutra Kveik	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-071DRY Dried Lutra Kveik	Dry	Beer	Brewshop; Homebrew	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-091 Hornindal Kveik	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-114 Bayern Lager	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
Omega Yeast	OYL-200 Tropical IPA	Liquid	Beer	Brewshop; Homebrew; others	Verified current Norwegian/NO-facing listing	https://brewshop.no/collections/omega-yeast	Round 1 Discovery – no ranking
White Labs	WLP001 California Ale	Liquid + Dry	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP002 English Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
White Labs	WLP004 Irish Ale	Liquid	Beer	Ølbrygging; Homebrew; Brewshop; others	Verified current Norwegian/NO-facing listing	https://www.olbrygging.no/whitelabs	Round 1 Discovery – no ranking
